idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
0,106.44632,-12.720764,0,0,-1,3.5,1.75,5.25,104.696322,-12.723746,111.696312,-12.71182
1,106.445732,-14.727763,0,0,-1,3.5,1.75,5.25,104.695737,-14.723745,111.695718,-14.739818
2,106.439728,-16.7265,0,0,-1,3.5,1.75,5.25,104.68973,-16.723734,111.689721,-16.734796
3,106.442154,-18.716688,0,0,-1,3.5,1.75,5.25,104.692168,-18.72373,111.692111,-18.695562
4,106.455727,-20.706831,0,0,-1,3.5,1.75,5.25,104.705808,-20.72368,111.705483,-20.656283
5,106.480461,-22.699663,10,0,-1,3.5,1.75,5.25,104.730624,-22.723534,111.729973,-22.628051
6,106.455948,-24.788099,10,0,-1,3.5,1.75,5.25,104.707152,-24.723181,111.702334,-24.982854
7,106.325546,-26.872604,10,0,-1,3.5,1.75,5.25,104.582295,-26.719065,111.555301,-27.333223
8,106.089584,-28.947813,10,0,-1,3.5,1.75,5.25,104.356365,-28.706047,111.289242,-29.67311
9,105.74865,-31.008379,10,0,-1,3.5,1.75,5.25,104.029925,-30.67901,110.904825,-31.996487
10,105.303642,-33.049,10,0,-1,3.5,1.75,5.25,103.603836,-32.632875,110.40306,-34.297375
11,104.755707,-35.064423,10,0,-1,3.5,1.75,5.25,103.079196,-34.562613,109.785238,-36.569851
12,104.106232,-37.049454,10,0,-1,3.5,1.75,5.25,102.457333,-36.463251,109.052928,-38.80806
13,103.356918,-38.998993,10,0,-1,3.5,1.75,5.25,101.739876,-38.329907,108.208044,-41.00625
14,102.509674,-40.908009,10,0,-1,3.5,1.75,5.25,100.928652,-40.157762,107.25274,-43.158748
15,101.566696,-42.771595,10,0,-1,3.5,1.75,5.25,100.025764,-41.94212,106.189491,-45.260021
16,100.530396,-44.584953,10,0,-1,3.5,1.75,5.25,99.033521,-43.678384,105.021018,-47.30466
17,99.403458,-46.343407,10,0,-1,3.5,1.75,5.25,97.954495,-45.362078,103.750346,-49.287394
18,98.188774,-48.042439,10,0,-1,3.5,1.75,5.25,96.791453,-46.988877,102.380739,-51.203124
19,96.889465,-49.67767,10,0,-1,3.5,1.75,5.25,95.547383,-48.554586,100.915711,-53.046919
20,95.508888,-51.244888,10,0,-1,3.5,1.75,5.25,94.225501,-50.055176,99.359051,-54.814026
21,94.050598,-52.740063,10,0,-1,3.5,1.75,5.25,92.829209,-51.486784,97.714767,-56.499899
22,92.518341,-54.159344,10,0,-1,3.5,1.75,5.25,91.362094,-52.845725,95.987081,-58.1002
23,90.916069,-55.499073,10,0,-1,3.5,1.75,5.25,89.827942,-54.128497,94.18045,-59.610802
24,89.247894,-56.75581,10,0,-1,3.5,1.75,5.25,88.230689,-55.331804,92.299512,-61.027827
25,87.518127,-57.926311,10,0,-1,3.5,1.75,5.25,86.574462,-56.452542,90.349124,-62.347619
26,85.731224,-59.007565,10,0,-1,3.5,1.75,5.25,84.863528,-57.487826,88.334311,-63.566779
27,83.891754,-59.996788,10,0,-1,3.5,1.75,5.25,83.102262,-58.434994,86.260231,-64.682171
28,82.004501,-60.891438,10,0,-1,3.5,1.75,5.25,81.295245,-59.291608,84.132272,-65.690926
29,80.07428,-61.689201,10,0,-1,3.5,1.75,5.25,79.447085,-60.055455,81.955865,-66.59044
30,78.106079,-62.388035,10,0,-1,3.5,1.75,5.25,77.562561,-60.724578,79.736633,-67.378405
31,76.104973,-62.986134,10,0,-1,3.5,1.75,5.25,75.646531,-61.297249,77.480299,-68.052787
32,74.076096,-63.48196,10,0,-1,3.5,1.75,5.25,73.70391,-61.771996,75.192653,-68.611853
33,72.024689,-63.874237,10,0,-1,3.5,1.75,5.25,71.739718,-62.147595,72.879601,-69.054162
34,69.956017,-64.161949,10,0,-1,3.5,1.75,5.25,69.758993,-62.423075,70.547086,-69.37857
35,67.87542,-64.344368,10,0,-1,3.5,1.75,5.25,67.766852,-62.597739,68.201123,-69.584255
36,65.788246,-64.421013,10,0,-1,3.5,1.75,5.25,65.768414,-62.671125,65.847744,-69.670676
37,63.767708,-64.423019,10,0,-1,3.5,1.75,5.25,63.768423,-62.67302,63.765562,-69.673019
38,61.767708,-64.422203,10,0,-1,3.5,1.75,5.25,61.768423,-62.672203,61.765562,-69.672203
39,59.767708,-64.421387,10,0,-1,3.5,1.75,5.25,59.768423,-62.671387,59.765562,-69.671386
40,57.767708,-64.42057,10,0,-1,3.5,1.75,5.25,57.768423,-62.67057,57.765562,-69.67057
41,55.767708,-64.419754,10,0,-1,3.5,1.75,5.25,55.768423,-62.669754,55.765562,-69.669754
42,53.767708,-64.418938,10,0,-1,3.5,1.75,5.25,53.768423,-62.668938,53.765562,-69.668937
43,51.767708,-64.418121,10,0,-1,3.5,1.75,5.25,51.768423,-62.668121,51.765562,-69.668121
44,49.767708,-64.417305,10,0,-1,3.5,1.75,5.25,49.768423,-62.667305,49.765562,-69.667305
45,47.767708,-64.416489,10,0,-1,3.5,1.75,5.25,47.768423,-62.666489,47.765562,-69.666488
